,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,Genes,URL
,0.000522315435431,9,1231,8.37597362259282,MiR-187 target gene, vmp1  calcr  b3gat1a  aqp12  cacng1b  dvl2  srebf1  hoxc1a  hoxc8a,http://www.targetscan.org
,0.00666481004619,8,1433,6.39579656007553,Transmembrane transporter activity , slc1a4  cacna1ba  aqp12  cacng1b  ndufaf2  slc30a6  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0022857
,0.00884250352817,8,1534,5.97469131068333,Transporter activity , slc1a4  cacna1ba  aqp12  cacng1b  ndufaf2  slc30a6  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0005215
,9.72869848988813E-05,7,378,21.2156862745098,Somite, mapk14a  calcr  fzd8a  pld1a  myo18ab  dio2  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,7,1501,5.34279108045617,Transmembrane transport , slc1a4  cacna1ba  aqp12  cacng1b  slc30a6  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0055085
,0.000324912783325,6,333,20.6422893481717,Intermediate mesoderm, ldb2a  calcr  fzd8a  pld1a  myo18ab  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.000324912783325,6,333,20.6422893481717,Lateral plate mesoderm, ldb2a  calcr  fzd8a  pld1a  myo18ab  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.000324912783325,6,333,20.6422893481717,Mesoderm, ldb2a  calcr  fzd8a  pld1a  myo18ab  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.000324912783325,6,333,20.6422893481717,Paraxial mesoderm, ldb2a  calcr  fzd8a  pld1a  myo18ab  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.000324912783325,6,300,22.9129411764706,Somite development, calcr  fzd8a  pld1a  myo18ab  dio2  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.000451733741237,6,368,18.6790281329923,Mesoderm development, ldb2a  calcr  fzd8a  pld1a  myo18ab  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.000451733741237,6,368,18.6790281329923,Paraxial mesoderm development, ldb2a  calcr  fzd8a  pld1a  myo18ab  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.000573056729461,6,403,17.0567800321121,Mesoderm formation, ldb2a  calcr  fzd8a  pld1a  myo18ab  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.000573056729461,6,403,17.0567800321121,Paraxial mesoderm formation, ldb2a  calcr  fzd8a  pld1a  myo18ab  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.001333693638268,5,276,20.7544757033248,Hypoblast, ldb2a  fzd8a  pld1a  myo18ab  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.0058447638336,5,397,14.4288042672989,MAPK signaling pathway, mapk14a  cacna1ba  cacng1b  nfatc3a  pdgfc,http://www.genome.jp/kegg-bin/show_pathway?dre04010 
,0.025967565595614,5,735,7.79351740696279,Cation transmembrane transporter activity , cacna1ba  cacng1b  slc30a6  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0008324
,0.025967565595614,5,650,8.81266968325792,Channel activity , cacna1ba  aqp12  cacng1b  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0015267
,0.025967565595614,5,650,8.81266968325792,Passive transmembrane transporter activity , cacna1ba  aqp12  cacng1b  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0022803
,0.050437217230391,5,1369,4.18424784084562,Protein phosphorylation , mapk14a  prkcha  slka  pkig  stk10, http://amigo.geneontology.org/amigo/term/GO:0006468
,0.050437217230391,5,1247,4.59361290626916,Ion transport , cacna1ba  cacng1b  slc30a6  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0006811
,0.050437217230391,5,965,5.93599512343798,Ion transmembrane transporter activity , cacna1ba  cacng1b  slc30a6  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0015075
,0.050454250443478,5,1573,3.64159904266856,Cell surface receptor signaling pathway , calcr  fzd8a  dvl2  pdgfc  grin3bb, http://amigo.geneontology.org/amigo/term/GO:0007166
,0.050871459410401,5,1586,3.61174987018767,Hif1ab-Hypoxia inducible factor 1 alpha target gene, SBNO2  ankrd12  iffo1b  nfatc3a  slc30a6,http://gtrd.biouml.org
,0.053104425149447,5,1605,3.56899395272128,MiR-196 target gene, mthfd1l  myo18ab  hoxc1a  hoxc8a  klf15,http://www.targetscan.org
,0.054126851578257,5,1618,3.54031847596888,Phosphorylation , mapk14a  prkcha  slka  pkig  stk10, http://amigo.geneontology.org/amigo/term/GO:0016310
,0.063014853700957,5,1698,3.37351901891499,Signal Transduction, prkcha  fzd8a  dvl2  pdgfc  chn1,https://reactome.org/download/current
,0.072722605908125,5,1781,3.21630280410873,Intracellular signal transduction , mapk14a  prkcha  dvl2  pld1a  chn1, http://amigo.geneontology.org/amigo/term/GO:0035556
,0.001019002047544,4,112,40.9159663865546,Axis, slc1a4  dvl2  srebf1  dio2,https://amp.pharm.mssm.edu/FishEnrichr
,0.004789723400725,4,174,26.3367139959432,Twitch skeletal muscle contraction, palld  myo18ab  hoxc8a  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.004837302794626,4,177,25.8903290129611,Kidney epithelial cell, palld  pld1a  myo18ab  si:ch211-183d21.1,https://amp.pharm.mssm.edu/FishEnrichr
,0.005745942023282,4,190,24.1188854489164,Muscle organ development, palld  dvl2  hoxc8a  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.005745942023282,4,190,24.1188854489164,Skeletal muscle tissue development, palld  dvl2  hoxc8a  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.006667836087922,4,209,21.9262594990149,Wnt signaling pathway, wif1  fzd8a  dvl2  nfatc3a,http://www.genome.jp/kegg-bin/show_pathway?dre04310 
,0.00884250352817,4,231,19.8380443086325,Swimming, dvl2  srebf1  dio2  gap43,https://amp.pharm.mssm.edu/FishEnrichr
,0.018342212555029,4,289,15.8567066965194,Mesenchyme, wif1  ldb2a  myo18ab  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,4,443,10.3444429690612,Cation channel activity , cacna1ba  cacng1b  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0005261
,0.030797949830423,4,470,9.75018773466834,Actin binding , scin  myo18ab  si:dkey-178k16.1  myo16, http://amigo.geneontology.org/amigo/term/GO:0003779
,0.041574024294131,4,521,8.79575477023823,Animal organ morphogenesis, ldb2a  calcr  dio2  pdlim7,https://amp.pharm.mssm.edu/FishEnrichr
,0.050437217230391,4,847,5.41037572053615,Cation transport , cacna1ba  cacng1b  slc30a6  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0006812
,0.050437217230391,4,563,8.13958833977641,Actin filament-based process , scin  myo18ab  si:dkey-178k16.1  myo16, http://amigo.geneontology.org/amigo/term/GO:0030029
,0.050437217230391,4,914,5.01377268631742,Ion transmembrane transport , cacna1ba  cacng1b  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0034220
,0.050437217230391,4,677,6.76896341993223,Protein serine/threonine kinase activity , mapk14a  prkcha  slka  stk10, http://amigo.geneontology.org/amigo/term/GO:0004674
,0.050437217230391,4,576,7.95588235294118,Ion channel activity , cacna1ba  cacng1b  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0005216
,0.050437217230391,4,778,5.89021624073794,Cytoskeletal protein binding , scin  myo18ab  si:dkey-178k16.1  myo16, http://amigo.geneontology.org/amigo/term/GO:0008092
,0.050437217230391,4,881,5.20157574948254,Inorganic molecular entity transmembrane transporter activity , cacna1ba  cacng1b  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0015318
,0.050437217230391,4,701,6.537215742217,Inorganic cation transmembrane transporter activity , cacna1ba  cacng1b  grin3bb  kcnk9, http://amigo.geneontology.org/amigo/term/GO:0022890
,0.063098897548916,4,1112,4.12103258569615,Protein kinase activity , mapk14a  prkcha  slka  stk10, http://amigo.geneontology.org/amigo/term/GO:0004672
,0.069004927604301,4,1153,3.97449109739299,Cytoskeleton , myo18ab  iffo1b  si:dkey-178k16.1  myo16, http://amigo.geneontology.org/amigo/term/GO:0005856
,0.006559282118806,3,68,50.5432525951557,Somite 8, mapk14a  myo18ab  dio2,https://amp.pharm.mssm.edu/FishEnrichr
,0.016695299998451,3,102,33.6955017301038,Somite 4, mapk14a  calcr  fzd8a,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,125,27.4955294117647,Response to chemical, srebf1  dio2  gap43,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,189,18.1848739495798,Swimming behavior, srebf1  dio2  gap43,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,179,19.2007886953664,Actin cytoskeleton organization, palld  pld1a  myo18ab,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,179,19.2007886953664,Actin filament organization, palld  pld1a  myo18ab,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,179,19.2007886953664,B cell differentiation, ldb2a  hoxc1a  gap43,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,170,20.2173010380623,Calcium ion transport, palld  pld1a  myo18ab,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,173,19.8667120027202,Cardiac muscle myoblast, palld  myo18ab  hoxc8a,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,171,20.0990712074303,Cell proliferation in midbrain, ldb2a  fzd8a  hoxc1a,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,182,18.8842921784098,Central nervous system neuron development, hoxc1a  hoxc8a  gap43,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,165,20.8299465240642,Forebrain development, ldb2a  hoxc1a  gap43,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,182,18.8842921784098,Hypothalamus development, ldb2a  hoxc1a  gap43,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,144,23.8676470588235,Medulla oblongata, ldb2a  gap43  chn1,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,167,20.5804860866502,Neuron development, ldb2a  hoxc1a  chn1,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,179,19.2007886953664,Ossification, palld  dvl2  myo18ab,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,163,21.0855286900036,Preoptic area, ldb2a  gap43  chn1,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,176,19.5280748663102,Regulation of cellular pH reduction, palld  pld1a  si:ch211-183d21.1,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,174,19.7525354969574,Regulation of protein kinase B signaling, palld  pld1a  si:ch211-183d21.1,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,169,20.3369300382875,Reproductive behavior, aqp12  pld1a  dio2,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,176,19.5280748663102,Skeletal muscle organ development, palld  myo18ab  hoxc8a,https://amp.pharm.mssm.edu/FishEnrichr
,0.025967565595614,3,184,18.6790281329923,Skeletal system development, palld  myo18ab  hoxc8a,https://amp.pharm.mssm.edu/FishEnrichr
