Name ,Group ,Sex,Gen,Birth year ,Block,DI
RW79,MWG0,M,Gen 0,2009,B1,0
RW91,MWG0,M,Gen 0,2009,B1,0
RA12,MWG0,M,Gen 0,2010,B2,0
RA47,MWG0,M,Gen 0,2010,B2,0
RA52,MWG0,M,Gen 0,2010,B2,0
RB34,MWG0,M,Gen 0,2011,B3,0
RB38,MWG0,M,Gen 0,2012,B4,0
RB55,MWG0,M,Gen 0,2012,B4,0
RB66,MWG0,M,Gen 0,2012,B4,0
RX15,MWG0,M,Gen 0,2015,B5,0
RX38,MWG0,M,Gen 0,2015,B5,0
RX81,MWG0,M,Gen 0,2015,B5,0
OD08,MHG3,M,Gen 3,2012,B1,4.625
OF15,MHG3,M,Gen 3,2012,B1,4.4375
YC36,MHG3,M,Gen 3,2013,B2,5.0313
YD08,MHG3,M,Gen 3,2013,B2,4.7188
YI32,MHG3,M,Gen 3,2013,B2,5.125
OK13,MHG3,M,Gen 3,2015,B4,3.1797
OK15,MHG3,M,Gen 3,2015,B4,3.1797
YT25,MHG3,M,Gen 3,2015,B4,3.4922
YT33,MHG3,M,Gen 3,2015,B4,3.4922
YA15,MHG3,M,Gen 3,2018,B5,6.7842
OC14,MHG1,M,Gen 1,2010,B1,2
YF39,MHG1,M,Gen 1,2010,B1,1
YF42,MHG1,M,Gen 1,2010,B1,1
GB64,MHG1,M,Gen 1,2011,B2,1
OS41,MHG1,M,Gen 1,2011,B2,1
YY17,MHG1,M,Gen 1,2011,B2,1
GC03,MHG1,M,Gen 1,2012,B3,2.875
OB32,MHG1,M,Gen 1,2013,B4,2.5938
OV01,MHG1,M,Gen 1,2013,B4,2.875
YT07,MHG1,M,Gen 1,2013,B4,1.5
YK54,MHG1,M,Gen 1,2016,B5,2.4258
YP51,MHG1,M,Gen 1,2016,B5,2.8281
YR58,MHG1,M,Gen 1,2016,B5,2.4727
GF36,MHG2,M,Gen 2,2011,B1,3.375
GS17,MHG2,M,Gen 2,2011,B1,3
ON56,MHG2,M,Gen 2,2011,B1,3
ON56,MHG2,M,Gen 2,2011,B1,3
GY19,MHG2,M,Gen 2,2012,B2,3.5
OU11,MHG2,M,Gen 2,2012,B2,2.9375
YV33,MHG2,M,Gen 2,2012,B2,3.4375
YK67,MHG2,M,Gen 2,2013,B3,4.875
OA22,MHG2,M,Gen 2,2014,B4,2.2969
OD35,MHG2,M,Gen 2,2014,B4,4.3594
OD66,MHG2,M,Gen 2,2014,B4,4.3594
YL51,MHG2,M,Gen 2,2014,B4,3.4531
YF50,MHG2,M,Gen 2,2017,B5,5.9844
YH10,MHG2,M,Gen 2,2017,B5,4.4219
YR66,MHG2,M,Gen 2,2017,B5,2.4141
RW43,FWG0,F,Gen 0,2009,B1,0
RA09,FWG0,F,Gen 0,2010,B2,0
RA17,FWG0,F,Gen 0,2010,B2,0
RA49,FWG0,F,Gen 0,2010,B2,0
OH46,FHG0,F,Gen 0,2011,B3,3.75
GG45,FHG0,F,Gen 0,2012,B4,3.75
OP21,FHG0,F,Gen 0,2012,B4,3.1875
OS06,FHG0,F,Gen 0,2012,B4,1
OF01,FHG0,F,Gen 0,2015,B5,2.8516
OG27,FHG0,F,Gen 0,2015,B5,3.6563
OK00,FHG0,F,Gen 0,2015,B5,2.9453
OP49,FHG1,F,Gen 1,2010,B1,3
YT54,FHG1,F,Gen 1,2010,B1,2.75
OP19,FHG1,F,Gen 1,2011,B2,4
OU20,FHG1,F,Gen 1,2011,B2,2.875
YY01,FHG1,F,Gen 1,2011,B2,3.875
YF03,FHG1,F,Gen 1,2012,B3,4.875
OF00,FHG1,F,Gen 1,2013,B4,3.4063
RX43,FWG1,F,Gen 1,2013,B4,0
YP34,FHG1,F,Gen 1,2013,B4,3.8438
RX28,FWG1,F,Gen 1,2016,B5,0
YF21,FHG1,F,Gen 1,2016,B5,4.3711
YP02,FHG1,F,Gen 1,2016,B5,7.543
OI00,FHG2,F,Gen 2,2011,B1,3.875
OS03,FHG2,F,Gen 2,2011,B1,3.875
YR06,FHG2,F,Gen 2,2011,B1,4
OP04,FHG2,F,Gen 2,2012,B2,4.8125
OZ04,FHG2,F,Gen 2,2012,B2,4.5625
YC06,FHG23,F,Gen 2,2012,B2,4.5
OB07,FHG2,F,Gen 2,2014,B4,2.6875
RX25,FWG2,F,Gen 2,2014,B4,0
YB82,FHG2,F,Gen 2,2014,B4,6.5938
YP50,FHG2,F,Gen 2,2014,B4,6.3438
OD23,FHG2,F,Gen 2,2017,B5,7.9395
YD41,FHG2,F,Gen 2,2017,B5,7.8867
YI03,FHG2,F,Gen 2,2017,B5,7.1465
OD00,FHG3,F,Gen 3,2012,B1,4.625
YC01,FHG3,F,Gen 3,2013,B2,5.0313
YD12,FHG3,F,Gen 3,2013,B2,4.7188
YI22,FHG3,F,Gen 3,2013,B2,5.125
OB21,FHG3,F,Gen 3,2014,B3,5.8438
OB40,FHG3,F,Gen 3,2014,B3,5.8438
OH01,FHG3,F,Gen 3,2015,B4,5.8984
OH11,FHG3,F,Gen 3,2015,B4,5.8984
OR05,FHG3,F,Gen 3,2015,B4,6.4766
OR29,FHG3,F,Gen 3,2015,B4,6.4766
OC00,FHG3,F,Gen 3,2018,B5,7.9619
YC94,FHG3,F,Gen 3,2018,B5,7.9619
YS03,FHG3,F,Gen 3,2018,B5,6.1504
YS63,FHG3,F,Gen 3,2018,B5,6.1504
